,exp_id,agent_id,num_episodes,num_sims,policy_name,nesting_level,proportion_num_outcome_WIN
2,1,0,100,2048,NestedSearchTree,1,0.46
3,1,1,100,2048,NestedSearchTree,3,0.53
14,7,0,100,2048,NestedSearchTree,1,0.47
15,7,1,100,2048,NestedSearchTree,2,0.53
26,13,0,100,2048,NestedSearchTree,1,0.64
27,13,1,100,2048,NestedSearchTree,1,0.36
38,19,0,100,2048,NestedSearchTree,1,0.67
39,19,1,100,2048,NestedSearchTree,0,0.33
48,24,0,100,2048,NestedSearchTree,1,0.67
49,24,1,100,16,RandomPolicy,0,0.08
50,25,0,100,2048,NestedSearchTree,1,0.55
51,25,1,100,16,PESPPolicy,0,0.4
54,27,0,100,2048,NestedSearchTree,0,0.43
55,27,1,100,2048,NestedSearchTree,3,0.56
66,33,0,100,2048,NestedSearchTree,0,0.31
67,33,1,100,2048,NestedSearchTree,2,0.68
78,39,0,100,2048,NestedSearchTree,0,0.46
79,39,1,100,2048,NestedSearchTree,1,0.53
90,45,0,100,2048,NestedSearchTree,0,0.6
91,45,1,100,2048,NestedSearchTree,0,0.4
100,50,0,100,2048,NestedSearchTree,0,0.64
101,50,1,100,16,RandomPolicy,0,0.06
102,51,0,100,2048,NestedSearchTree,0,0.6
103,51,1,100,16,PESPPolicy,0,0.35
106,53,0,100,16,RandomPolicy,0,0.0
107,53,1,100,2048,NestedSearchTree,3,0.99
118,59,0,100,16,RandomPolicy,0,0.0
119,59,1,100,2048,NestedSearchTree,2,0.97
130,65,0,100,16,RandomPolicy,0,0.0
131,65,1,100,2048,NestedSearchTree,1,0.99
142,71,0,100,16,RandomPolicy,0,0.0
143,71,1,100,2048,NestedSearchTree,0,1.0
152,76,0,100,16,RandomPolicy,0,0.01
153,76,1,100,16,RandomPolicy,0,0.31
154,77,0,100,16,RandomPolicy,0,0.0
155,77,1,100,16,PESPPolicy,0,0.94
164,82,0,100,16,PESPPolicy,0,0.41
165,82,1,100,2048,NestedSearchTree,0,0.59
176,88,0,100,16,PESPPolicy,0,0.21
177,88,1,100,2048,NestedSearchTree,1,0.79
188,94,0,100,16,PESPPolicy,0,0.2
189,94,1,100,2048,NestedSearchTree,2,0.8
200,100,0,100,16,PESPPolicy,0,0.24
201,100,1,100,2048,NestedSearchTree,3,0.75
202,102,0,100,16,PESPPolicy,0,0.46
203,102,1,100,16,RandomPolicy,0,0.52
204,103,0,100,16,PESPPolicy,0,0.26
205,103,1,100,16,PESPPolicy,0,0.72
